Date,Guest,Primetime,Tucker
July 27 2020 Monday,Dan Crenshaw;Scott Atlas;Kate Bedingfield;William McGurn,0,0
October 23 2020 Friday,Cody Campbell;James Freeman;Alex Berenson;Julie Ruesewald;Robert Sherill,0,0
October 26 2020 Monday,Chris Coons;Thom Tillis;Mike Davis,0,0
March 19 2020 Thursday,,0,0
December 3 2020 Thursday,,0,0
April 27 2020 Monday,Dan Erikson;Artin Massihi;Stephen Smith;Bruce Fong;Joey Gilbert;Dinesh D'Souza,1,0
April 22 2020 Wednesday,Stephen Smith;Jeff Colyer;Mike Pompeo;Jim Jordan;Mark Green,1,0
December 11 2020 Friday,Jim Jordan;Scott Atlas;Edd Hendee;Robert Unanue,1,0
June 4 2020 Thursday,,0,0
October 8 2020 Thursday,,0,0
April 2 2020 Thursday,,0,0
April 17 2020 Friday,,0,0
April 21 2020 Tuesday,,0,0
May 11 2020 Monday,,0,0
June 12 2020 Friday,Shelby Talcott;Denny Heck;Victor Davis Hanson;Rochelle Ritchie;Alex Berenson;Susan Hutchison,0,0
August 19 2020 Wednesday,Eric Trump;Jared Kushner;Greg Abbott;Reince Priebus,1,0
July 13 2020 Monday,,0,0
April 3 2020 Friday,Thomas Keller,0,0
April 10 2020 Friday,Anthony Fauci;Jody Hice;Eric Cooper;Randi Weingarten;Benjamin Watson,0,0
June 25 2020 Thursday,Charlie Kirk;Tio Hardiman;Doug Barrett;Rodney Parks;Brandon Tatum;Carlos Gimenez;Devin Nunes,0,0
January 29 2020 Wednesday,Josh Hawley;Jenna Ellis;Saagar Enjeti,1,1
December 23 2020 Wednesday,Timothy Cardinal Dolan,0,0
June 4 2020 Thursday,Todd Axtell,0,0
February 4 2020 Tuesday,,0,0
February 23 2020 Sunday,Tom Steyer;Jane Harman;Josh Holmes;Marc Short,0,0
July 15 2020 Wednesday,Tommy Tuberville,0,0
November 11 2020 Wednesday,Tommy Tuberville,0,0
November 2 2020 Monday,Mark Penn;Chris Wilson;Ethan Bearman;Charlie Kirk;Catherine Engelbretch;Rachel Campos Duffy;,1,0
October 7 2020 Wednesday,Newt Gingrich;Andrew Arthur;Colion Noir;Saagar Enjeti;Neal Elattrache;Mark Steyn,1,1
August 27 2020 Thursday,Ric Grenell;Julio Rosas;Horace Cooper;Dean Cain;Michael Anton,1,1
October 28 2020 Wednesday,Ned Ryun;Josh Hawley;Shelby Talcott;Mark Steyn,1,1
November 4 2020 Wednesday,,0,0
March 2 2020 Monday,Michael Bloomberg,0,0
March 5 2020 Thursday,Donald Trump,1,0
March 5 2020 Thursday,Donald Trump,0,0
February 27 2020 Thursday,Amy Klobuchar,0,0
February 27 2020 Thursday,Amy Klobuchar,0,0
March 9 2020 Monday,Bernie Sanders,0,0
March 9 2020 Monday,Sen. Bernie Sanders (I-VT);Presidential Candidate,0,0
April 18 2020 Saturday,Larry Kudlow;C.J. Peters;Robert Barnes,1,0
December 9 2020 Wednesday,Matt Whitaker;Jay Smith;John Matze,1,0
April 14 2020 Tuesday,Raul Ruiz;Sandro Galea;Susan Crabtree;Joseph Gannascoli;Qanta Ahmed,0,0
November 23 2020 Monday,Ethan Bearman;Kevin Faulconer;Christian Whiton;Dan Patrick,1,0
November 19 2020 Thursday,Reince Priebus;Ronna McDaniel; Kayleigh McEnany;Rudy Giuliani;Sharyl Attkisson;Elise Stefanik,1,0
June 12 2020 Friday,George Casey;Bob Maginnis;George Yancopoulos;Scott Martin;Randy Sutton,0,0
May 1 2020 Friday,Danny Lemos;Pete Ricketts;George Pataki,0,0
March 19 2020 Thursday,Jacob Glanville;Jennifer Nuzzo;Tom Cotton;Larry Hogan;Susan Kane,0,0
December 15 2020 Tuesday,Andreas Koutsoudakis Jr.,0,0
July 10 2020 Friday,James Craig;Mike Gunzelman;Tom Price; Heather Zumarraga;Michael Dukakis,0,0
September 22 2020 Tuesday,Evan Thomas;Jim Trusty;Kaylee McGhee;John Thomas;Kristen Hawn;Mike Braun;John Bussey,0,0
August 4 2020 Tuesday,Charles Lane;Mollie Hemingway,0,0
May 26 2020 Tuesday,Bobby Bledsoe;Karl Manke;Harmeet Dhillon;Victor Davis Hanson;Phil Kerpen;Dan Patrick,1,0
July 31 2020 Friday,Monica Lindstrom;Alan Dershowitz;Buck Sexton;Burgess Owens;Gordon Chang;Scott Johnson;,1,1
January 17 2020 Friday,Pam Bondi;Alan Dershowitz;Martha McSally;Joe Concha;Louie Gohmert,1,0
April 15 2020 Wednesday,Meshawn Maddock;Scott Whitaker;Brian Duncan;Kevin Campbell;Jeanne Shaheen;Kevin Cramer,0,0
March 20 2020 Friday,William Grace;Mark Morgan,1,0
April 2 2020 Thursday,Matt Whitaker;Jim Figlar;Stephen Moore;Jason Garcia;Wendy Escobedo,1,0
March 20 2020 Friday,Marty Makary;Manny Alvarez;Marc Thiessen;Kimberley Strassel;Charles Lane,0,0
October 1 2020 Thursday,Tim Murtaugh;Kay Coles James;Harmeet Dhillon;Dave Brown;Kelly Loeffler,1,0
October 16 2020 Friday,Harmeet Dhillon;Sohrab Ahmari;Namrata Singh Gujral;Burgess Owens;Tezlyn Figaro;Robert Patillo;,1,0
October 23 2020 Friday,Mercedes Schlapp;Steve Cortes;Kevin McCarthy;Paul Dorrance;Sadie Moore Stewart;Al Edmondson;,0,0
September 13 2020 Sunday,Jared Kushner;Matt Gaetz,1,0
July 14 2020 Tuesday,Larry Kudlow;Eric Greitens;Don Wagner;Steven Abelowitz,1,0
January 6 2020 Monday,Harold Ford Jr.;Tom Bevan,0,0
October 2 2020 Friday,Stephen Smith;Ramin Oskoui;Jayanta Bhattacharya;Alex Berenson;Craig Shirley;Scott Jensen;,1,0
January 20 2020 Monday,Leslie Marshall,0,0
October 12 2020 Monday,Victor Davis Hanson;Ramin Oskoui;John Eastman;Robert Dunn;Joe Collins,1,0
January 17 2020 Friday,Susan Ferrechio;Marc Thiessen;Jeff Mason,0,0
March 7 2020 Saturday,Rudy Giuliani;Matt Gaetz;Corey Lewandowski;Joseph Simonson;Corey Feldman,1,0
March 26 2020 Thursday,Stephen Smith;Ramin Oskoui;Jeff Colyer;Kevin McCarthy;Marc Thiessen;Steve Forbes;Robert Stacy ,1,0
May 2 2020 Saturday,Rudy Giuliani;Peter Zeihan;Jim Jordan,1,0
November 9 2020 Monday,Steven Mulroy;Phil Wegmann;Ted Weisberg;Kathryn Rooney Vera;Bob Lahita,0,0
November 17 2020 Tuesday,Victor Joecks;Luke Martin;Dan Sullivan;Francis Collins;Alex Berenson;Ryan Manion,0,0
November 6 2020 Friday,John McLaughlin;Chris Bedford;Dinesh D'Souza;Phillip Kline;Harmeet Dhillon;Candace Owens,1,0
November 11 2020 Wednesday,Kayleigh McEnany;Jim Jordan;Reince Priebus;Leo Terrell;Larry Elders;Elise Stefanik;Devin Nunes,1,0
October 9 2020 Friday,Jason Miller;Marsha Mueller;Carl Mueller;Vincent Speranza,0,0
November 11 2020 Wednesday,Adam Laxalt;Doug Collins;Mark Steyn;Vince Coglianese,1,1
August 3 2020 Monday,Erin Perrine;Andrew Holmes;Bernard Kerik;David Paltiel;Scott Atlas;La Shawn Ford,0,0
October 23 2020 Friday,Frank Luntz;Josh Kraushaar;Kristen Soltis Anderson;Tom Bevan,0,0
June 11 2020 Thursday,Dan Patrick;Richard Grenell,1,0
May 8 2020 Friday,Harold Ford;Charles Hurt;Ari Fleischer,0,0
July 11 2020 Saturday,Steve Bannon;Rudy Giuliani;Corey Lewandowski;Daniel Halper;Pam Bondi,1,0
November 16 2020 Monday,Celine Gounder;Scott Atlas;Susan Collins;Nicole Malliotakis,0,0
October 26 2020 Monday,Josh Hawley;Ramin Oskoui;Dinesh D'Souza,1,0
March 13 2020 Friday,Brendan Carr;Amy Acton;Mike DeWine;Seema Verma;Michael Osterholm;Jason Rantz;Chris Bedford,1,1
April 13 2020 Monday,Donald Trump; Government; Economy; China; Employment and Unemployment; CDC; Media; Joe Biden; ,0,0
June 1 2020 Monday,Julie Pace;Bob Johnson,0,0
December 23 2020 Wednesday,Victor Davis Hanson;Tulsi Gabbard;Robby Soave;Brett Giroir; Brett Tolman;Jeanne Mack;James ,0,0
January 24 2020 Friday,Peter Schweizer;Mollie Hemingway;Steve Hayes;Michael Crowley,0,0
September 3 2020 Thursday,Russel Vought;Ethan Bearman;Harmeet Dhillon;Kevin Walling;Bernard Kerik;Van Wanggaard;Ashley ,1,0
September 5 2020 Saturday,Hogan Gidley;Rand Paul;Leo Terrell;Corey Lewandowski;Robert Hariri;Dave Rubin,1,0
September 7 2020 Monday,John Bolton;Michael Pillsbury;Scott Atlas;Jerry Stepanovich;Cheryl Johnson;Masih Alinejad,0,0
May 18 2020 Monday,Ronny Jackson;Charles Camosy;Bradley Moss;John Yoo;Harmeet Dhillon,1,0
April 28 2020 Tuesday,Amy Walter;Matthew Continetti,0,0
September 21 2020 Monday,Tom Cotton;Scott Bolden;Brett Tolman;Chris Hahn,0,0
May 27 2020 Wednesday,Brendan Carr;Peter Kirsanow;J. Heydt Philbeck;Michael Pastelak,1,1
April 6 2020 Monday,Anthony Cardillo;Karen Whitsett;Stephen Smith;Ben Carson;Gerald Murray;Ted Cruz,1,0
January 1 2020 Wednesday,Patrick Morrisey;Susan Ferrechio;Josh Kraushaar,0,0
December 9 2020 Wednesday,Lara Trump;Reince Priebus;Kayleigh McEnany;Ron Johnson;Peter Schweizer;Matt Gaetz;Ric Grenell;,1,0
April 3 2020 Friday,Megan Pfeiffer;Louis Falo;John Yoo;Alex Swoyer,1,0
August 21 2020 Friday,Harmeet Dhillon;Cynthia Garrett;John McLaughlin;Alex Berenson;Phil Kerpen;Bob Kroll,1,0
February 18 2020 Tuesday,Ben Domenech;Susan Ferrechio;Jonathan Swan,0,0
November 23 2020 Monday,Victor Davis Hanson;Chris Bedford;Lara Trump;Alex Berenson;William Grace,1,0
February 18 2020 Tuesday,Alice Johnson;Dinesh D'Souza;Tom Cotton;Betsy McCaughey;Chris Veilleux;Tim Kosnoff;Darrell Issa;,0,0
October 23 2020 Friday,Mike Pence;Peter Schweizer;Ron Johnson;Matt Towery;Leo Terrell,1,0
September 8 2020 Tuesday,Tom Bevan;Tom Bevan;Josh Shapiro,0,0
September 8 2020 Tuesday,Christopher Rufo;Peter Kirsanow;Adam Carolla;Candace Owens,1,1
September 30 2020 Wednesday,Candace Owens;Ramin Oskoui,1,0
October 13 2020 Tuesday,Pam Bondi;Ronny Jackson;Tom Cotton,1,0
January 14 2020 Tuesday,Doug Collins;Rick Scott;Steve Scalise;Sean Spicer;Sidney Powell,1,0
October 23 2020 Friday,Francey Hakes;Gordon Chang;Adam Laxalt,1,1
September 1 2020 Tuesday,Scott Walker;James Butts,1,0
November 3 2020 Tuesday,Donna Brazile;Katie Pavlich;Natalie Rojas,1,0
November 3 2020 Tuesday,Donna Brazile;Katie Pavlich;Natalie Rojas,1,0
January 25 2020 Saturday,Mike Johnson;Matt Gaetz;Kellyanne Conway;Peter Schweizer;Les Knight,1,0
May 25 2020 Monday,Bill McGurn;Mark Milley,0,0
April 14 2020 Tuesday,,0,0
December 27 2020 Sunday,Pat Toomey;Brett Giroir,0,0
April 7 2020 Tuesday,,0,0
March 26 2020 Thursday,Dan Bartlett,0,0
October 15 2020 Thursday,Josh Hawley;Joe Concha,1,0
April 16 2020 Thursday,Larry Kudlow;John Kennedy;Lindsey Graham;Ted Cruz,1,0
May 24 2020 Sunday,Art Laffer;Stephen Moore;Charlie Kirk;John Delaney,1,0
August 7 2020 Friday,Dan Patrick;Jim Trusty;Burgess Owens;Andrew Stoltmann;Brian Claypool,1,0
February 19 2020 Wednesday,Mark Meadows;Doug Schoen;Amy Klobuchar;Pete Buttigieg,1,0
November 1 2020 Sunday,Kevin Walling;Tom Bevan,1,0
February 19 2020 Wednesday,Charlie Hurt;Chris Hahn;Mercedes Schlapp;Matt Gaetz;Luiza Petre;Tom Bevan;Mark Penn,1,0
November 2 2020 Monday,Robert Cahaly;Matt Towery,1,0
June 20 2020 Saturday,Charlie Kirk,1,0
June 19 2020 Friday,Richard Goodstein;Harmeet Dhillon;Burgess Owens;Andy Ngo;John Yoo;Bradley Moss,1,0
November 2 2020 Monday,Tom Bevan;Kevin Walling;John Garamendi,1,0
September 17 2020 Thursday,John Yoo;Harry Litman;James Craig;Kevin Walling;Mercedes Schlapp;Mark Green;Jim Caviezel,1,0
March 8 2020 Sunday,Bernie Sanders;Donna Edwards;Ben Domenech;Anthony Fauci,0,0
June 8 2020 Monday,William Barr;Jason Riley;Leslie Marshall;Mollie Hemingway,0,0
March 16 2020 Monday,Marty Makary;Brendan Carr;Katie Pavlich;Mary Anne Marsh,0,0
August 10 2020 Monday,Peter Kirsanow;Glenn Beck;Terry Schilling,1,1
March 18 2020 Wednesday,Frederick Smith;Steve Hayes;Charles Hurt,0,0
April 21 2020 Tuesday,Peter Navarro;Lindsey Graham;Joni Ernst;Gordon Chang,1,0
September 4 2020 Friday,Pete Buttigieg;Tim Murtaugh;Bernard Kerik;Victor Davis Hanson;Kimberly Klacik;Sean Parnell,0,0
May 6 2020 Wednesday,Julie Pace;Steve Hayes;Bill Bennett,0,0
March 17 2020 Tuesday,Mark Esper;Syra Madad;Jonah Goldberg,0,0
April 10 2020 Friday,Brendan Carr;Joseph O'Brien;Bradley Moss;John Yoo;Alex Swoyer;Robert Patillo;Max Lucado,1,0
April 24 2020 Friday,Jason Riley;Mollie Hemingway;Harold Ford,0,0
February 21 2020 Friday,Dina Titus;Devin Nunes;Andy Puzder,0,0
November 4 2020 Wednesday,,0,0
January 17 2020 Friday,Tom Fitton;Matt Whitaker;Eric Trump;Leo Terrel;Herman Cain;Erica Kasraie,1,0
March 14 2020 Saturday,Tom Cotton;Devin Nunes;Alicia Arden,1,0
May 20 2020 Wednesday,Charles Hurt;Susan Ferrechio;Jonathan Swan,0,0
May 14 2020 Thursday,,0,0
October 20 2020 Tuesday,Ramin Oskoui;Amber Condry;Harvey Risch;Ben Carson;Newt Gingrich;Dinesh D'Souza,1,0
September 27 2020 Sunday,Marsha Blackburn;Matt Gaetz;Corey Lewandowski,1,0
November 12 2020 Thursday,Jonathan Swan;Lisa Boothe;Bill McGurn,0,0
December 4 2020 Friday,Jenny Beth Martin;Elisha Krauss;Charlie Kirk;Mo Brooks;Dave Rubin;Charlie LeDuff;Victor Davis ,0,0
November 21 2020 Saturday,Jim Jordan;Jenna Ellis,1,0
November 19 2020 Thursday,Heather Mac Donald;Adam Carolla;Libby Emmons;Sean Davis,1,1
April 10 2020 Friday,Mehmet Oz;Ali Mokdad;Stephen Moore;Austan Goolsbee;Tom Cotton;Peter Hotez,1,0
January 9 2020 Thursday,Max Rose;Charlie Kirk,0,0
August 31 2020 Monday,Larry Cuffe;Scott Jones;Joey Gibson;Ethan Bearman;Horace Cooper;Herschel Walker,1,0
May 11 2020 Monday,David Reich;Mara Liasson;Bill Bennett;Chris Stirewalt,0,0
September 2 2020 Wednesday,Harold Ford Jr.;Susan Ferrechio;Bill Bennett,0,0
January 23 2020 Thursday,Matthew Continetti;Charles Lane;Jason Riley;Josh Hawley;Chris Van Hollen,0,0
March 19 2020 Thursday,Marco Rubio;Seema Verma;Lindsey Graham;Nigel Farage;Kevin McCarthy,1,0
February 10 2020 Monday,Reince Priebus;Tulsi Gabbard;Steve Scalise;Bernard Kerik,1,0
February 5 2020 Wednesday,Alan Dershowitz;Kevin McCarthy;Louie Gohmert;Matt Schlapp;Mitch McConnell;Alice Marie Johnson;,1,0
February 7 2020 Friday,Stephanie Grisham;Matt Whitaker;Darrell Issa;Lee Zeldin;Alan Dershowitz;Reince Priebus;Jeff Lord;,1,0
November 30 2020 Monday,Rand Paul;Charlie LeDuff;Lara Trump;Tom Cotton,0,0
May 5 2020 Tuesday,Jose Andres;Bill McGurn;Mollie Hemingway;Jonathan Karl,0,0
September 1 2020 Tuesday,Hogan Gidley;Betsy DeVos;Kerri Kupec;Ron Battelle;Jack Holder,0,0
July 20 2020 Monday,Ken Cuccinelli;Cedric Alexander;Robert Harris;Hogan Gidley;Jim Jordan;Carlos Gimenez;Ted Cruz;,0,0
September 3 2020 Thursday,Tina Oppedisano;Mark Penn;George Pataki; Ted Weisberg;Ted Weisberg;Anita Gupta;Kathryn Rooney ,0,0
September 9 2020 Wednesday,Daniel Davis;Erica Kious;Jason Whitlock,1,1
July 10 2020 Friday,Libby Emmons;Chadwick Moore;Ned Ryun;Gordon Chang;Christopher Bedford,1,1
November 3 2020 Tuesday,,1,0
November 4 2020 Wednesday,,0,0
September 4 2020 Friday,Steve Forbes;Robert Spalding;Dinesh D'Souza;John Eastman;Horace Cooper,1,0
April 16 2020 Thursday,Steven Moshern;Neel Kashkari;Jeff Sessions;Joel Hay,1,1
February 28 2020 Friday,Stephen Moore;Devin Nunes;Chuck Hagel;Marlon Kimpson;Sean Spicer,0,0
February 23 2020 Sunday,Henry Olsen;Kayleigh McEnany;Kira Davis,1,0
November 2 2020 Monday,Donna Brazile;Robert Cahaly;Pete Buttigieg;Sean Spicer,0,0
October 8 2020 Thursday,Bernard Whitman;Peter Gaynor;John Bussey,0,0
October 29 2020 Thursday,Susan Crabtree;Robert O'Brien;Lauren Debellis Appell;Jessica Freeman;Katey Morse;Vernon Jones;,0,0
April 15 2020 Wednesday,,0,0
April 6 2020 Monday,,0,0
January 8 2020 Wednesday,Nazee Moinian;Mike Lee;Mercedes Schlapp;David Tafuri,0,0
July 31 2020 Friday,Dena Love;Melinda Aiello;Hogan Gidley;Charlie Kirk;Susan Hutchison;Dennis Prager,0,0
August 28 2020 Friday,Robert Woodson;Alice Johnson;Charlie LeDuff;Joseph Wu;Hershel Woody Williams,0,0
March 25 2020 Wednesday,,0,0
July 7 2020 Tuesday,Mercedes Schlapp;Richard Goodstein;Rep. Michael McCaul;Richard Besser;Kenneth Kline,0,0
May 20 2020 Wednesday,Josh Hawley;Chris Coons;Asa Hutchison;Grady Trimble;Guy Benson,0,0
April 3 2020 Friday,Marty Makary,0,0
December 24 2020 Thursday,,1,0
August 21 2020 Friday,Julie Pace;Mollie Hemingway;Steve Hayes,0,0
March 24 2020 Tuesday,Anthony Fauci;Mike Huckabee;Joe Hawk;Alex Berenson;Nicholas Perricone,1,0
January 10 2020 Friday,Dan Crenshaw;Debbie Dingell;Masih Alinejad,0,0
October 19 2020 Monday,Hogan Gidley;Mike Emanuel;Tom Cotton;Diane Piagentini,0,0
March 30 2020 Monday,Marty Makary;Charles Lane,0,0
April 1 2020 Wednesday,,0,0
February 6 2020 Thursday,Kellyanne Conway;Christine Pelosi;Michael Nutter;Chris Coons,0,0
November 4 2020 Wednesday,,0,0
April 13 2020 Monday,Kevin Walling;Steve Moore;Brian Brenbeg;Kristen Waggoner;Athur Scott,1,0
May 25 2020 Monday,,1,1
June 19 2020 Friday,,0,0
June 7 2020 Sunday,Moe Elleithee,0,0
June 13 2020 Saturday,Bernard Kerik;Matt Gaetz;Ed Flynn;Shelby Steele,1,0
October 15 2020 Thursday,,0,0
May 27 2020 Wednesday,Molly McCann;John Eastman;Stephen Smith;Ramin Oskoui;Stephen Smith;Josh Hawley,1,0
September 24 2020 Thursday,Julio Rosas;Candace Owens;Steve Krakauer;Alex Berenson;Sean Davis,1,1
July 8 2020 Wednesday,Jonathan Swan;Kimberley Strassel;Steve Hayes,0,0
June 3 2020 Wednesday,Josh Hawley;Tim Fitch;Ben Shapiro,0,0
September 14 2020 Monday,Alex Villanueva;Eric Trump;Mercedes Schlapp;Candace Owens;Darrell Scott,1,0
September 14 2020 Monday,Ron Hernandez;James Craig;Mike Pompeo;Richard Besser;Jim Jordan,0,0
September 23 2020 Wednesday,Julio Rosas;Aubrey Williams;Brandon Tatum;Candace Owens;Horace Cooper;Phil Kerpen,1,0
August 26 2020 Wednesday,Richie McGinniss; Victor Davis Hanson;Josh Hawley;Jack Sillin,1,1
September 14 2020 Monday,Bernie Kerik;Alex Berenson;Seth Barron;Brian Peters;Nick Pope;Ayaan Hirsi Ali,1,1
June 5 2020 Friday,Bernie Kerik;Larry Kudlow;Alex Berenson,0,0
May 4 2020 Monday,Robin Armstrong;Tim Walters;Harmeet Dhillon;Lindsey Graham;Jim Jordan;Lee Zeldin,1,0
November 25 2020 Wednesday,Tyler Goodspeed,0,0
December 28 2020 Monday,James Mallios;Dani Hughes;Chris Swecker;Lee Carter;Shoshana Ungerleider;Chuck Fleischmann,0,0
June 19 2020 Friday,Marsha Blackburn;Sara Nelson;Mark Zoradi;Cornel West,0,0
January 3 2020 Friday,Douglas Macgregor;Jim Antle;J.D. Vance;Dana Loesch;Ned Ryun,1,1
February 24 2020 Monday,Charles Lane,0,0
February 13 2020 Thursday,,0,0
December 10 2020 Thursday,Tom Donohue,0,0
June 2 2020 Tuesday,Ron Johnson;Ben Carson,0,0
February 26 2020 Wednesday,Gordon Chang;Colion Noir;Howie Carr;Jenna Ellis;Dave Portnoy,1,1
February 25 2020 Tuesday,Jeff Stier;Richard Goodstein;Jason Rantz;Peter Navarro,1,1
April 23 2020 Thursday,Peter Walker;Adam Laxalt,1,1
April 3 2020 Friday,Lindsey Graham;Brett Giroir,0,0
January 3 2020 Friday,Oliver North;Mike Pompeo;Lindsey Graham;Sean Spicer;Mark "Oz" Geist,1,0
April 3 2020 Friday,Devi Nampiaparampil;Ramin Oskoui;Alex Berenson;Andy Biggs;Steve Forbes;Jeremy Howard,1,0
April 15 2020 Wednesday,Phil Murphy;John Kennedy;Gordon Chang;Meshawn Maddock,1,1
April 3 2020 Friday,Peter Navarro;Jacob Glanville;Chris Rufo;Jim Copland,1,1
November 5 2020 Thursday,Gordon Pennington;Angela Tahiliani;Philip Klein;Ron DeSantis;Victor Davis Hanson;Kevin McCarthy;,1,0
October 31 2020 Saturday,Donald Trump;Jr.;Lara Trump;Joe Concha,1,0
January 5 2020 Sunday,Michael Anton;Donna Edwards;Josh Holmes;Mike Pompeo;Chris Van Hollen,0,0
May 3 2020 Sunday,Daniel Todd;Mike Naig;Jon Huntsman;Bob Lahita;Jim Justice,0,0
January 14 2020 Tuesday,Ken Starr;Harold Ford,1,0
January 17 2020 Friday,Robert Wolf;Elizabeth Pipko;Mike Gunzelman;Robert Patillo;Ken Gormley;Katie Cherkasky;Matthew ,0,0
March 31 2020 Tuesday,Jeff Colyer;Ramin Oskoui;Monty Bennett;John Barrasso;Devin Nunes;Dinesh D'Souza;Mike Huckabee;,1,0
March 8 2020 Sunday,Adam Carolla;Jenna Ellis;Tezlyn Figaro,1,0
May 21 2020 Thursday,David Marcus;Dan Hume;Larry Hume,1,1
January 15 2020 Wednesday,Ted Cruz;Donald Trump Jr.;Lindsey Graham;Alan Dershowitz,1,0
May 6 2020 Wednesday,Nikki Haley;Quentin Hart;Shane Miller;Betsy DeVos;Andy Puzder,0,0
January 8 2020 Wednesday,Douglas Macgregor;Cory Mills;Tulsi Gabbard;Mike Rowe;Anna Kooiman,1,1
March 31 2020 Tuesday,Darrell Landers,0,0
November 3 2020 Tuesday,,0,0
June 6 2020 Saturday,Mike Pence;Bradley Edwards;Brett Velicovich,1,0
July 14 2020 Tuesday,Austin Beutner;Rand Paul;Francis Suarez,0,0
June 1 2020 Monday,Orlando Rolon;Charles Stotts;Chris Swecker;Kacey White;Matthew Whitaker;Howard Safir;Geoff ,0,0
September 7 2020 Monday,Paris Dennard;Ethan Bearman;John Yoo;Bradley Moss;Jason Rantz,1,0
September 22 2020 Tuesday,,0,0
September 28 2020 Monday,,0,0
December 14 2020 Monday,Kate Gutmann,0,0
July 20 2020 Monday,Jerome Adams,0,0
March 30 2020 Monday,Terrence O'Shaughnessy;James O'Brien;Franklin Graham;Mike Pompeo;Steve Scalise;Doug Collins;,1,0
July 20 2020 Monday,Asa Hutchinson;Charles Marino;John Barrasso;Mark Warner,0,0
July 7 2020 Tuesday,,0,0
June 2 2020 Tuesday,,0,0
March 5 2020 Thursday,Kevin McCarthy;Lindsey Graham;Carter Page;Dave Rubin,1,0
October 7 2020 Wednesday,<Spec Mike Pence; Kamala Harris; Donald Trump; Joe Biden; Politics; Government; Health and Medicine; ,1,0
October 25 2020 Sunday,Mike Pence,1,0
March 7 2020 Saturday,Mike Pence;Tim Scott;Dan Crenshaw;Kevin McCarthy,1,0
August 3 2020 Monday,Mike Pence;Adam Laxalt;Victor Davis Hanson;James Craig;Herschel Walker,1,0
July 7 2020 Tuesday,Mike Pence;Jonah Goldberg;Mara Liasson;Charles Hurt,0,0
November 19 2020 Thursday,David Sanford;Mike Pence;Anthony Fauci;Gustave Perna;Robert Redfield;Elinore Mccance-Katz,0,0
March 6 2020 Friday,Byron York;Mollie Hemingway;Charles Lane,0,0
March 22 2020 Sunday,Mike Pence;Anthony Fauci,1,0
November 22 2020 Sunday,Victor Davis Hanson,1,0
June 22 2020 Monday,Garry McCarthy;Peter Navarro;Tom Cotton;Greg Abbott;Scott Atlas,0,0
June 29 2020 Monday,Leo Terrell;Burgess Owens;Matt Schlapp;Dave Rubin,1,0
July 8 2020 Wednesday,Mark Hulbert;Geoff Duncan;John Bussey;Mike DeWine;Betsy DeVos,0,0
August 31 2020 Monday,Mercedes Schlapp;Rand Paul;Jack Brewer;Lee Carter;Chris Carr,0,0
July 27 2020 Monday,James Louie;Victor Davis Hanson;Corey Brooks;John Catanzara;Raymond Arroyo;Alex Berenson,1,0
June 1 2020 Monday,Michael Baden;Rudy Giuliani;Leo Terrell;Larry Elder,1,0
September 7 2020 Monday,John Wolf;Victor Davis Hanson;Lara Logan;Robert Nelson,1,0
July 27 2020 Monday,Shelby Talcott;Ami Horowitz;Lindsey Graham;Mercedes Schlapp;Matt Gaetz;Frank Trumbetti,1,0
August 24 2020 Monday,Drew Hernandez;John Kennedy,1,1
March 24 2020 Tuesday,Mike Pence; Dr. Mehmet Oz,1,0
August 28 2020 Friday,,0,0
March 5 2020 Thursday,Susan Ferruccio;Jonathan Swan,0,0
March 28 2020 Saturday,Mike Pence;Steve Bannon,1,0
October 12 2020 Monday,,0,0
April 30 2020 Thursday,Jeff Sessions;Andrew McCarthy;Bjorn Lomborg;Rick Savage;Adam Carolla,1,1
March 25 2020 Wednesday,Bill Simon,0,0
November 12 2020 Thursday,Alex Azar; Rand Paul; Jack Keane;Kayleigh McEnany;Maury Povich,0,0
June 5 2020 Friday,Harold Ford Jr;Marc Thiessen;Bill McGurn;Shelby Steele,0,0
July 13 2020 Monday,Jack Brewer;Lee Carter;Michael Cathcart;Matthew Whitaker;Jerry Boykin;Bob Lahita,0,0
May 8 2020 Friday,Frankey Hakes;Joe Alioto Veronese;Marty Makary,1,1
July 6 2020 Monday,Mollie Hemingway;Charles Lane;Chris Stirewalt,0,0
February 24 2020 Monday,Donna Rotunno;Damon Cheronis;Rich McHugh;Chuck Rocha;Tom Steyer;John Tesh,0,0
September 11 2020 Friday,Rob Fazio;Kevin Lawrence;Tom Bevan;David Burstein;Lauren Claffey;Frank Bisignano;Andrew Card,0,0
December 7 2020 Monday,Rand Paul;Jerome Adams;Ken Starr;Jim Jordan;Lou Conter,0,0
October 9 2020 Friday,Wesley Smith;Stephen Smith;Jason Whitlock,1,0
August 16 2020 Sunday,Peter Schweizer;Charlie Kirk,1,0
August 15 2020 Saturday,John Catanzara;Jr.;Mike Solan;Rudy Giuliani;Peter Zeihan;Sarah Palin,1,0
November 28 2020 Saturday,Joe Machi,1,0
February 9 2020 Sunday,Matt Gaetz;Marsha Blackburn,1,0
July 15 2020 Wednesday,Jerry Falwell;Lindsey Graham;Matt Gaetz;Dave Rubin;Mehmet Oz,1,0
June 10 2020 Wednesday,Leo Terrell;Larry Elder;Kevin McCarthy;Darrell Scott;Matt Gaetz;Kerri Kupec,1,0
October 27 2020 Tuesday,,0,0
